publicado em 2011	dp=2011
publicado mas nao em 1744	dp<>1744
publicado entre 1980 e 1744	dp>=1980 and dp<=1744
publicado em 1679	dp=1679
publicado depois de 1679	dp>1679
publicado a partir de 1679	dp>=1679
publicado antes de 1679	dp<1679
publicado ate 1679	dp<=1679
publicado excepto em 1679	dp<>1679
publicado mas nao em 1679	dp<>1679
publicado entre 1980 e 1679	dp>=1980 and dp<=1679
publicado em 1685	dp=1685
publicado depois de 1685	dp>1685
publicado a partir de 1685	dp>=1685
publicado antes de 1685	dp<1685
publicado ate 1685	dp<=1685
publicado excepto em 1685	dp<>1685
publicado mas nao em 1685	dp<>1685
publicado entre 1980 e 1685	dp>=1980 and dp<=1685
publicado em 1689	dp=1689
publicado depois de 1689	dp>1689
publicado a partir de 1689	dp>=1689
publicado antes de 1689	dp<1689
publicado ate 1689	dp<=1689
publicado excepto em 1689	dp<>1689
publicado mas nao em 1689	dp<>1689
publicado entre 1980 e 1689	dp>=1980 and dp<=1689
publicado em 1694	dp=1694
publicado depois de 1694	dp>1694
publicado a partir de 1694	dp>=1694
publicado antes de 1694	dp<1694
publicado ate 1694	dp<=1694
publicado excepto em 1694	dp<>1694
publicado mas nao em 1694	dp<>1694
publicado entre 1980 e 1694	dp>=1980 and dp<=1694
publicado em 1688	dp=1688
publicado depois de 1688	dp>1688
publicado a partir de 1688	dp>=1688
publicado antes de 1688	dp<1688
publicado ate 1688	dp<=1688
publicado excepto em 1688	dp<>1688
publicado mas nao em 1688	dp<>1688
publicado entre 1980 e 1688	dp>=1980 and dp<=1688
publicado em 1696	dp=1696
publicado depois de 1696	dp>1696
publicado a partir de 1696	dp>=1696
publicado antes de 1696	dp<1696
publicado ate 1696	dp<=1696
publicado excepto em 1696	dp<>1696
publicado mas nao em 1696	dp<>1696
publicado entre 1980 e 1696	dp>=1980 and dp<=1696
publicado em 1710	dp=1710
publicado depois de 1710	dp>1710
publicado a partir de 1710	dp>=1710
publicado antes de 1710	dp<1710
publicado ate 1710	dp<=1710
publicado excepto em 1710	dp<>1710
publicado mas nao em 1710	dp<>1710
publicado entre 1980 e 1710	dp>=1980 and dp<=1710
publicado em 1736	dp=1736
publicado depois de 1736	dp>1736
publicado a partir de 1736	dp>=1736
publicado antes de 1736	dp<1736
publicado ate 1736	dp<=1736
publicado excepto em 1736	dp<>1736
publicado mas nao em 1736	dp<>1736
publicado entre 1980 e 1736	dp>=1980 and dp<=1736
publicado em 1727	dp=1727
publicado depois de 1727	dp>1727
publicado a partir de 1727	dp>=1727
publicado antes de 1727	dp<1727
publicado ate 1727	dp<=1727
publicado excepto em 1727	dp<>1727
publicado mas nao em 1727	dp<>1727
publicado entre 1980 e 1727	dp>=1980 and dp<=1727
publicado em 1643	dp=1643
publicado depois de 1643	dp>1643
publicado a partir de 1643	dp>=1643
publicado antes de 1643	dp<1643
publicado ate 1643	dp<=1643
publicado excepto em 1643	dp<>1643
publicado mas nao em 1643	dp<>1643
publicado entre 1980 e 1643	dp>=1980 and dp<=1643
publicado em 1648	dp=1648
publicado depois de 1648	dp>1648
publicado a partir de 1648	dp>=1648
publicado antes de 1648	dp<1648
publicado ate 1648	dp<=1648
publicado excepto em 1648	dp<>1648
publicado mas nao em 1648	dp<>1648
publicado entre 1980 e 1648	dp>=1980 and dp<=1648
publicado em 1802	dp=1802
publicado depois de 1802	dp>1802
publicado a partir de 1802	dp>=1802
publicado antes de 1802	dp<1802
publicado ate 1802	dp<=1802
publicado excepto em 1802	dp<>1802
publicado mas nao em 1802	dp<>1802
publicado entre 1980 e 1802	dp>=1980 and dp<=1802
publicado em 1840	dp=1840
publicado depois de 1840	dp>1840
publicado a partir de 1840	dp>=1840
publicado antes de 1840	dp<1840
publicado ate 1840	dp<=1840
publicado excepto em 1840	dp<>1840
publicado mas nao em 1840	dp<>1840
publicado entre 1980 e 1840	dp>=1980 and dp<=1840
publicado em 1845	dp=1845
publicado depois de 1845	dp>1845
publicado a partir de 1845	dp>=1845
publicado antes de 1845	dp<1845
publicado ate 1845	dp<=1845
publicado excepto em 1845	dp<>1845
publicado mas nao em 1845	dp<>1845
publicado entre 1980 e 1845	dp>=1980 and dp<=1845
publicado em 1821	dp=1821
publicado depois de 1821	dp>1821
publicado a partir de 1821	dp>=1821
publicado antes de 1821	dp<1821
publicado ate 1821	dp<=1821
publicado excepto em 1821	dp<>1821
publicado mas nao em 1821	dp<>1821
publicado entre 1980 e 1821	dp>=1980 and dp<=1821
publicado em 1815	dp=1815
publicado depois de 1815	dp>1815
publicado a partir de 1815	dp>=1815
publicado antes de 1815	dp<1815
publicado ate 1815	dp<=1815
publicado excepto em 1815	dp<>1815
publicado mas nao em 1815	dp<>1815
publicado entre 1980 e 1815	dp>=1980 and dp<=1815
publicado em 1813	dp=1813
publicado depois de 1813	dp>1813
publicado a partir de 1813	dp>=1813
publicado antes de 1813	dp<1813
publicado ate 1813	dp<=1813
publicado excepto em 1813	dp<>1813
publicado mas nao em 1813	dp<>1813
publicado entre 1980 e 1813	dp>=1980 and dp<=1813
publicado em 1846	dp=1846
publicado depois de 1846	dp>1846
publicado a partir de 1846	dp>=1846
publicado antes de 1846	dp<1846
publicado ate 1846	dp<=1846
publicado excepto em 1846	dp<>1846
publicado mas nao em 1846	dp<>1846
publicado entre 1980 e 1846	dp>=1980 and dp<=1846
publicado em 1805	dp=1805
publicado depois de 1805	dp>1805
publicado a partir de 1805	dp>=1805
publicado antes de 1805	dp<1805
publicado ate 1805	dp<=1805
publicado excepto em 1805	dp<>1805
publicado mas nao em 1805	dp<>1805
publicado entre 1980 e 1805	dp>=1980 and dp<=1805
publicado em 1833	dp=1833
publicado depois de 1833	dp>1833
publicado a partir de 1833	dp>=1833
publicado antes de 1833	dp<1833
publicado ate 1833	dp<=1833
publicado excepto em 1833	dp<>1833
publicado mas nao em 1833	dp<>1833
publicado entre 1980 e 1833	dp>=1980 and dp<=1833
publicado em 1847	dp=1847
publicado depois de 1847	dp>1847
publicado a partir de 1847	dp>=1847
publicado antes de 1847	dp<1847
publicado ate 1847	dp<=1847
publicado excepto em 1847	dp<>1847
publicado mas nao em 1847	dp<>1847
publicado entre 1980 e 1847	dp>=1980 and dp<=1847
publicado em 1831	dp=1831
publicado depois de 1831	dp>1831
publicado a partir de 1831	dp>=1831
publicado antes de 1831	dp<1831
publicado ate 1831	dp<=1831
publicado excepto em 1831	dp<>1831
publicado mas nao em 1831	dp<>1831
publicado entre 1980 e 1831	dp>=1980 and dp<=1831
publicado em 1809	dp=1809
publicado depois de 1809	dp>1809
publicado a partir de 1809	dp>=1809
publicado antes de 1809	dp<1809
publicado ate 1809	dp<=1809
publicado excepto em 1809	dp<>1809
publicado mas nao em 1809	dp<>1809
publicado entre 1980 e 1809	dp>=1980 and dp<=1809
publicado em 1801	dp=1801
publicado depois de 1801	dp>1801
publicado a partir de 1801	dp>=1801
publicado antes de 1801	dp<1801
publicado ate 1801	dp<=1801
publicado excepto em 1801	dp<>1801
publicado mas nao em 1801	dp<>1801
publicado entre 1980 e 1801	dp>=1980 and dp<=1801
publicado em 1807	dp=1807
publicado depois de 1807	dp>1807
publicado a partir de 1807	dp>=1807
publicado antes de 1807	dp<1807
publicado ate 1807	dp<=1807
publicado excepto em 1807	dp<>1807
publicado mas nao em 1807	dp<>1807
publicado entre 1980 e 1807	dp>=1980 and dp<=1807
publicado em 1714	dp=1714
publicado depois de 1714	dp>1714
publicado a partir de 1714	dp>=1714
publicado antes de 1714	dp<1714
publicado ate 1714	dp<=1714
publicado excepto em 1714	dp<>1714
publicado mas nao em 1714	dp<>1714
publicado entre 1980 e 1714	dp>=1980 and dp<=1714
publicado em 1712	dp=1712
publicado depois de 1712	dp>1712
publicado a partir de 1712	dp>=1712
publicado antes de 1712	dp<1712
publicado ate 1712	dp<=1712
publicado excepto em 1712	dp<>1712
publicado mas nao em 1712	dp<>1712
publicado entre 1980 e 1712	dp>=1980 and dp<=1712
publicado em 1789	dp=1789
publicado depois de 1789	dp>1789
publicado a partir de 1789	dp>=1789
publicado antes de 1789	dp<1789
publicado ate 1789	dp<=1789
publicado excepto em 1789	dp<>1789
publicado mas nao em 1789	dp<>1789
publicado entre 1980 e 1789	dp>=1980 and dp<=1789
publicado em 19m	dp=19m
publicado depois de 19m	dp>19m
publicado a partir de 19m	dp>=19m
publicado antes de 19m	dp<19m
publicado ate 19m	dp<=19m
publicado excepto em 19m	dp<>19m
publicado mas nao em 19m	dp<>19m
publicado entre 1980 e 19m	dp>=1980 and dp<=19m
publicado em d194	dp=d194
publicado depois de d194	dp>d194
publicado a partir de d194	dp>=d194
publicado antes de d194	dp<d194
publicado ate d194	dp<=d194
publicado excepto em d194	dp<>d194
publicado mas nao em d194	dp<>d194
publicado entre 1980 e d194	dp>=1980 and dp<=d194
publicado em 1193	dp=1193
publicado depois de 1193	dp>1193
publicado a partir de 1193	dp>=1193
publicado antes de 1193	dp<1193
publicado ate 1193	dp<=1193
publicado excepto em 1193	dp<>1193
publicado mas nao em 1193	dp<>1193
publicado entre 1980 e 1193	dp>=1980 and dp<=1193
publicado em 1747	dp=1747
publicado depois de 1747	dp>1747
publicado a partir de 1747	dp>=1747
publicado antes de 1747	dp<1747
publicado ate 1747	dp<=1747
publicado excepto em 1747	dp<>1747
publicado mas nao em 1747	dp<>1747
publicado entre 1980 e 1747	dp>=1980 and dp<=1747
publicado em 1751	dp=1751
publicado depois de 1751	dp>1751
publicado a partir de 1751	dp>=1751
publicado antes de 1751	dp<1751
publicado ate 1751	dp<=1751
publicado excepto em 1751	dp<>1751
publicado mas nao em 1751	dp<>1751
publicado entre 1980 e 1751	dp>=1980 and dp<=1751
publicado em 1764	dp=1764
publicado depois de 1764	dp>1764
publicado a partir de 1764	dp>=1764
publicado antes de 1764	dp<1764
publicado ate 1764	dp<=1764
publicado excepto em 1764	dp<>1764
publicado mas nao em 1764	dp<>1764
publicado entre 1980 e 1764	dp>=1980 and dp<=1764
publicado em 1184	dp=1184
publicado depois de 1184	dp>1184
publicado a partir de 1184	dp>=1184
publicado antes de 1184	dp<1184
publicado ate 1184	dp<=1184
publicado excepto em 1184	dp<>1184
publicado mas nao em 1184	dp<>1184
publicado entre 1980 e 1184	dp>=1980 and dp<=1184
publicado em   m	dp= m
publicado depois de   m	dp>  m
publicado a partir de   m	dp>= m
publicado antes de   m	dp<  m
publicado ate   m	dp<= m
publicado excepto em   m	dp<>  m
publicado mas nao em   m	dp<>  m
publicado entre 1980 e   m	dp>=1980 and dp<= m
publicado em 9999	dp=9999
publicado depois de 9999	dp>9999
publicado a partir de 9999	dp>=9999
publicado antes de 9999	dp<9999
publicado ate 9999	dp<=9999
publicado excepto em 9999	dp<>9999
publicado mas nao em 9999	dp<>9999
publicado entre 1980 e 9999	dp>=1980 and dp<=9999
publicado no seculo 100	dp=99%
publicado antes do seculo 100	dp<99%
publicado depois do seculo 100	dp>99%
publicado em 2066	dp=2066
publicado depois de 2066	dp>2066
publicado a partir de 2066	dp>=2066
publicado antes de 2066	dp<2066
publicado ate 2066	dp<=2066
publicado excepto em 2066	dp<>2066
publicado mas nao em 2066	dp<>2066
publicado entre 1980 e 2066	dp>=1980 and dp<=2066
publicado em 202	dp=202
publicado depois de 202	dp>202
publicado a partir de 202	dp>=202
publicado antes de 202	dp<202
publicado ate 202	dp<=202
publicado excepto em 202	dp<>202
publicado mas nao em 202	dp<>202
publicado entre 1980 e 202	dp>=1980 and dp<=202
publicado em 320d	dp=320d
publicado depois de 320d	dp>320d
publicado a partir de 320d	dp>=320d
publicado antes de 320d	dp<320d
publicado ate 320d	dp<=320d
publicado excepto em 320d	dp<>320d
publicado mas nao em 320d	dp<>320d
publicado entre 1980 e 320d	dp>=1980 and dp<=320d
publicado no seculo 33	dp=32%
publicado antes do seculo 33	dp<32%
publicado depois do seculo 33	dp>32%
publicado em 403d	dp=403d
publicado depois de 403d	dp>403d
publicado a partir de 403d	dp>=403d
publicado antes de 403d	dp<403d
publicado ate 403d	dp<=403d
publicado excepto em 403d	dp<>403d
publicado mas nao em 403d	dp<>403d
publicado entre 1980 e 403d	dp>=1980 and dp<=403d
publicado no seculo 41	dp=40%
publicado antes do seculo 41	dp<40%
publicado depois do seculo 41	dp>40%
publicado em    d	dp=  d
publicado depois de    d	dp>   d
publicado a partir de    d	dp>=  d
publicado antes de    d	dp<   d
publicado ate    d	dp<=  d
publicado excepto em    d	dp<>   d
publicado mas nao em    d	dp<>   d
publicado entre 1980 e    d	dp>=1980 and dp<=  d
publicado em 00	dp=00
publicado depois de 00	dp>00
publicado a partir de 00	dp>=00
publicado antes de 00	dp<00
publicado ate 00	dp<=00
publicado excepto em 00	dp<>00
publicado mas nao em 00	dp<>00
publicado entre 1980 e 00	dp>=1980 and dp<=00
publicado em 2199	dp=2199
publicado depois de 2199	dp>2199
publicado a partir de 2199	dp>=2199
publicado antes de 2199	dp<2199
publicado ate 2199	dp<=2199
publicado excepto em 2199	dp<>2199
publicado mas nao em 2199	dp<>2199
publicado entre 1980 e 2199	dp>=1980 and dp<=2199
publicado em   y2	dp= y2
publicado depois de   y2	dp>  y2
publicado a partir de   y2	dp>= y2
publicado antes de   y2	dp<  y2
publicado ate   y2	dp<= y2
publicado excepto em   y2	dp<>  y2
publicado mas nao em   y2	dp<>  y2
publicado entre 1980 e   y2	dp>=1980 and dp<= y2
publicado em y0po	dp=y0po
publicado depois de y0po	dp>y0po
publicado a partir de y0po	dp>=y0po
publicado antes de y0po	dp<y0po
publicado ate y0po	dp<=y0po
publicado excepto em y0po	dp<>y0po
publicado mas nao em y0po	dp<>y0po
publicado entre 1980 e y0po	dp>=1980 and dp<=y0po
publicado no seculo 1	dp=y0%
publicado antes do seculo 1	dp<y0%
publicado depois do seculo 1	dp>y0%
publicado em 994k	dp=994k
publicado depois de 994k	dp>994k
publicado a partir de 994k	dp>=994k
publicado antes de 994k	dp<994k
publicado ate 994k	dp<=994k
publicado excepto em 994k	dp<>994k
publicado mas nao em 994k	dp<>994k
publicado entre 1980 e 994k	dp>=1980 and dp<=994k
publicado em    c	dp=  c
publicado depois de    c	dp>   c
publicado a partir de    c	dp>=  c
publicado antes de    c	dp<   c
publicado ate    c	dp<=  c
publicado excepto em    c	dp<>   c
publicado mas nao em    c	dp<>   c
publicado entre 1980 e    c	dp>=1980 and dp<=  c
publicado em 0008	dp=0008
publicado depois de 0008	dp>0008
publicado a partir de 0008	dp>=0008
publicado antes de 0008	dp<0008
publicado ate 0008	dp<=0008
publicado excepto em 0008	dp<>0008
publicado mas nao em 0008	dp<>0008
publicado entre 1980 e 0008	dp>=1980 and dp<=0008
publicado em  d19	dp=d19
publicado depois de  d19	dp> d19
publicado a partir de  d19	dp>=d19
publicado antes de  d19	dp< d19
publicado ate  d19	dp<=d19
publicado excepto em  d19	dp<> d19
publicado mas nao em  d19	dp<> d19
publicado entre 1980 e  d19	dp>=1980 and dp<=d19
publicado no seculo 1	dp=d%
publicado antes do seculo 1	dp< d%
publicado depois do seculo 1	dp> d%
publicado em 998	dp=998
publicado depois de 998	dp>998
publicado a partir de 998	dp>=998
publicado antes de 998	dp<998
publicado ate 998	dp<=998
publicado excepto em 998	dp<>998
publicado mas nao em 998	dp<>998
publicado entre 1980 e 998	dp>=1980 and dp<=998
publicado em k199	dp=k199
publicado depois de k199	dp>k199
publicado a partir de k199	dp>=k199
publicado antes de k199	dp<k199
publicado ate k199	dp<=k199
publicado excepto em k199	dp<>k199
publicado mas nao em k199	dp<>k199
publicado entre 1980 e k199	dp>=1980 and dp<=k199
publicado no seculo 1	dp=k1%
publicado antes do seculo 1	dp<k1%
publicado depois do seculo 1	dp>k1%
publicado em  km	dp=km
publicado depois de  km	dp> km
publicado a partir de  km	dp>=km
publicado antes de  km	dp< km
publicado ate  km	dp<=km
publicado excepto em  km	dp<> km
publicado mas nao em  km	dp<> km
publicado entre 1980 e  km	dp>=1980 and dp<=km
publicado antes do seculo 1	dp< k%
publicado depois do seculo 1	dp> k%
publicado em    k	dp=  k
publicado depois de    k	dp>   k
publicado a partir de    k	dp>=  k
publicado antes de    k	dp<   k
publicado ate    k	dp<=  k
publicado excepto em    k	dp<>   k
publicado mas nao em    k	dp<>   k
publicado entre 1980 e    k	dp>=1980 and dp<=  k
publicado em   m1	dp= m1
publicado depois de   m1	dp>  m1
publicado a partir de   m1	dp>= m1
publicado antes de   m1	dp<  m1
publicado ate   m1	dp<= m1
publicado excepto em   m1	dp<>  m1
publicado mas nao em   m1	dp<>  m1
publicado entre 1980 e   m1	dp>=1980 and dp<= m1
publicado em 014	dp=014
publicado depois de 014	dp>014
publicado a partir de 014	dp>=014
publicado antes de 014	dp<014
publicado ate 014	dp<=014
publicado excepto em 014	dp<>014
publicado mas nao em 014	dp<>014
publicado entre 1980 e 014	dp>=1980 and dp<=014
publicado em s201	dp=s201
publicado depois de s201	dp>s201
publicado a partir de s201	dp>=s201
publicado antes de s201	dp<s201
publicado ate s201	dp<=s201
publicado excepto em s201	dp<>s201
publicado mas nao em s201	dp<>s201
publicado entre 1980 e s201	dp>=1980 and dp<=s201
publicado no seculo 1	dp=s2%
publicado antes do seculo 1	dp<s2%
publicado depois do seculo 1	dp>s2%
publicado em s200	dp=s200
publicado depois de s200	dp>s200
publicado a partir de s200	dp>=s200
publicado antes de s200	dp<s200
publicado ate s200	dp<=s200
publicado excepto em s200	dp<>s200
publicado mas nao em s200	dp<>s200
publicado entre 1980 e s200	dp>=1980 and dp<=s200
publicado em m  y	dp=m  y
publicado depois de m  y	dp>m  y
publicado a partir de m  y	dp>=m  y
publicado antes de m  y	dp<m  y
publicado ate m  y	dp<=m  y
publicado excepto em m  y	dp<>m  y
publicado mas nao em m  y	dp<>m  y
publicado entre 1980 e m  y	dp>=1980 and dp<=m  y
publicado no seculo 1	dp=m%
publicado antes do seculo 1	dp<m%
publicado depois do seculo 1	dp>m%
publicado em   y0	dp= y0
publicado depois de   y0	dp>  y0
publicado a partir de   y0	dp>= y0
publicado antes de   y0	dp<  y0
publicado ate   y0	dp<= y0
publicado excepto em   y0	dp<>  y0
publicado mas nao em   y0	dp<>  y0
publicado entre 1980 e   y0	dp>=1980 and dp<= y0
publicado em    e	dp=  e
publicado depois de    e	dp>   e
publicado a partir de    e	dp>=  e
publicado antes de    e	dp<   e
publicado ate    e	dp<=  e
publicado excepto em    e	dp<>   e
publicado mas nao em    e	dp<>   e
publicado entre 1980 e    e	dp>=1980 and dp<=  e
publicado em s190	dp=s190
publicado depois de s190	dp>s190
publicado a partir de s190	dp>=s190
publicado antes de s190	dp<s190
publicado ate s190	dp<=s190
publicado excepto em s190	dp<>s190
publicado mas nao em s190	dp<>s190
publicado entre 1980 e s190	dp>=1980 and dp<=s190
publicado no seculo 1	dp=s1%
publicado antes do seculo 1	dp<s1%
publicado depois do seculo 1	dp>s1%
publicado em s199	dp=s199
publicado depois de s199	dp>s199
publicado a partir de s199	dp>=s199
publicado antes de s199	dp<s199
publicado ate s199	dp<=s199
publicado excepto em s199	dp<>s199
publicado mas nao em s199	dp<>s199
publicado entre 1980 e s199	dp>=1980 and dp<=s199
publicado em k..	dp=k..
publicado depois de k..	dp>k..
publicado a partir de k..	dp>=k..
publicado antes de k..	dp<k..
publicado ate k..	dp<=k..
publicado excepto em k..	dp<>k..
publicado mas nao em k..	dp<>k..
publicado entre 1980 e k..	dp>=1980 and dp<=k..
publicado no seculo 1	dp=k.%
publicado antes do seculo 1	dp<k.%
publicado depois do seculo 1	dp>k.%
publicado em 517	dp=517
publicado depois de 517	dp>517
publicado a partir de 517	dp>=517
publicado antes de 517	dp<517
publicado ate 517	dp<=517
publicado excepto em 517	dp<>517
publicado mas nao em 517	dp<>517
publicado entre 1980 e 517	dp>=1980 and dp<=517
publicado no seculo 52	dp=51%
publicado antes do seculo 52	dp<51%
publicado depois do seculo 52	dp>51%
publicado em 03	dp=03
publicado depois de 03	dp>03
publicado a partir de 03	dp>=03
publicado antes de 03	dp<03
publicado ate 03	dp<=03
publicado excepto em 03	dp<>03
publicado mas nao em 03	dp<>03
publicado entre 1980 e 03	dp>=1980 and dp<=03
publicado no seculo 4	dp=03%
publicado antes do seculo 4	dp<03%
publicado depois do seculo 4	dp>03%
publicado em   k	dp= k
publicado depois de   k	dp>  k
publicado a partir de   k	dp>= k
publicado antes de   k	dp<  k
publicado ate   k	dp<= k
publicado excepto em   k	dp<>  k
publicado mas nao em   k	dp<>  k
publicado entre 1980 e   k	dp>=1980 and dp<= k
publicado em 32x	dp=32x
publicado depois de 32x	dp>32x
publicado a partir de 32x	dp>=32x
publicado antes de 32x	dp<32x
publicado ate 32x	dp<=32x
publicado excepto em 32x	dp<>32x
publicado mas nao em 32x	dp<>32x
publicado entre 1980 e 32x	dp>=1980 and dp<=32x
publicado em 1797	dp=1797
publicado depois de 1797	dp>1797
publicado a partir de 1797	dp>=1797
publicado antes de 1797	dp<1797
publicado ate 1797	dp<=1797
publicado excepto em 1797	dp<>1797
publicado mas nao em 1797	dp<>1797
publicado entre 1980 e 1797	dp>=1980 and dp<=1797
publicado em 2	dp=2
publicado depois de 2	dp>2
publicado a partir de 2	dp>=2
publicado antes de 2	dp<2
publicado ate 2	dp<=2
publicado excepto em 2	dp<>2
publicado mas nao em 2	dp<>2
publicado entre 1980 e 2	dp>=1980 and dp<=2
publicado antes do seculo 3	dp<2%
publicado depois do seculo 3	dp>2%
publicado em 2197	dp=2197
publicado depois de 2197	dp>2197
publicado a partir de 2197	dp>=2197
publicado antes de 2197	dp<2197
publicado ate 2197	dp<=2197
publicado excepto em 2197	dp<>2197
publicado mas nao em 2197	dp<>2197
publicado entre 1980 e 2197	dp>=1980 and dp<=2197
publicado em 4199	dp=4199
publicado depois de 4199	dp>4199
publicado a partir de 4199	dp>=4199
publicado antes de 4199	dp<4199
publicado ate 4199	dp<=4199
publicado excepto em 4199	dp<>4199
publicado mas nao em 4199	dp<>4199
publicado entre 1980 e 4199	dp>=1980 and dp<=4199
publicado no seculo 42	dp=41%
publicado antes do seculo 42	dp<41%
publicado depois do seculo 42	dp>41%
publicado em 948	dp=948
publicado depois de 948	dp>948
publicado a partir de 948	dp>=948
publicado antes de 948	dp<948
publicado ate 948	dp<=948
publicado excepto em 948	dp<>948
publicado mas nao em 948	dp<>948
publicado entre 1980 e 948	dp>=1980 and dp<=948
publicado no seculo 95	dp=94%
publicado antes do seculo 95	dp<94%
publicado depois do seculo 95	dp>94%
publicado em 197_	dp=197_
publicado depois de 197_	dp>197_
publicado a partir de 197_	dp>=197_
publicado antes de 197_	dp<197_
publicado ate 197_	dp<=197_
publicado excepto em 197_	dp<>197_
publicado mas nao em 197_	dp<>197_
publicado entre 1980 e 197_	dp>=1980 and dp<=197_
publicado em 200o	dp=200o
publicado depois de 200o	dp>200o
publicado a partir de 200o	dp>=200o
publicado antes de 200o	dp<200o
publicado ate 200o	dp<=200o
publicado excepto em 200o	dp<>200o
publicado mas nao em 200o	dp<>200o
publicado entre 1980 e 200o	dp>=1980 and dp<=200o
publicado em 1580	dp=1580
publicado depois de 1580	dp>1580
publicado a partir de 1580	dp>=1580
publicado antes de 1580	dp<1580
publicado ate 1580	dp<=1580
publicado excepto em 1580	dp<>1580
publicado mas nao em 1580	dp<>1580
publicado entre 1980 e 1580	dp>=1980 and dp<=1580
publicado em 1755	dp=1755
publicado depois de 1755	dp>1755
publicado a partir de 1755	dp>=1755
publicado antes de 1755	dp<1755
publicado ate 1755	dp<=1755
publicado excepto em 1755	dp<>1755
publicado mas nao em 1755	dp<>1755
publicado entre 1980 e 1755	dp>=1980 and dp<=1755
publicado em 17	dp=17
publicado depois de 17	dp>17
publicado a partir de 17	dp>=17
publicado antes de 17	dp<17
publicado ate 17	dp<=17
publicado excepto em 17	dp<>17
publicado mas nao em 17	dp<>17
publicado entre 1980 e 17	dp>=1980 and dp<=17
publicado em 19 3	dp=19 3
publicado depois de 19 3	dp>19 3
publicado a partir de 19 3	dp>=19 3
publicado antes de 19 3	dp<19 3
publicado ate 19 3	dp<=19 3
publicado excepto em 19 3	dp<>19 3
publicado mas nao em 19 3	dp<>19 3
publicado entre 1980 e 19 3	dp>=1980 and dp<=19 3
publicado em 1191	dp=1191
publicado depois de 1191	dp>1191
publicado a partir de 1191	dp>=1191
publicado antes de 1191	dp<1191
publicado ate 1191	dp<=1191
publicado excepto em 1191	dp<>1191
publicado mas nao em 1191	dp<>1191
publicado entre 1980 e 1191	dp>=1980 and dp<=1191
publicado em 988	dp=988
publicado depois de 988	dp>988
publicado a partir de 988	dp>=988
publicado antes de 988	dp<988
publicado ate 988	dp<=988
publicado excepto em 988	dp<>988
publicado mas nao em 988	dp<>988
publicado entre 1980 e 988	dp>=1980 and dp<=988
publicado em 2045	dp=2045
publicado depois de 2045	dp>2045
publicado a partir de 2045	dp>=2045
publicado antes de 2045	dp<2045
publicado ate 2045	dp<=2045
publicado excepto em 2045	dp<>2045
publicado mas nao em 2045	dp<>2045
publicado entre 1980 e 2045	dp>=1980 and dp<=2045
publicado em 013	dp=013
publicado depois de 013	dp>013
publicado a partir de 013	dp>=013
publicado antes de 013	dp<013
publicado ate 013	dp<=013
publicado excepto em 013	dp<>013
publicado mas nao em 013	dp<>013
publicado entre 1980 e 013	dp>=1980 and dp<=013
publicado em 4194	dp=4194
publicado depois de 4194	dp>4194
publicado a partir de 4194	dp>=4194
publicado antes de 4194	dp<4194
publicado ate 4194	dp<=4194
publicado excepto em 4194	dp<>4194
publicado mas nao em 4194	dp<>4194
publicado entre 1980 e 4194	dp>=1980 and dp<=4194
publicado em 0	dp=0
publicado depois de 0	dp>0
publicado a partir de 0	dp>=0
publicado antes de 0	dp<0
publicado ate 0	dp<=0
publicado excepto em 0	dp<>0
publicado mas nao em 0	dp<>0
publicado entre 1980 e 0	dp>=1980 and dp<=0
publicado no seculo 1	dp=0%
publicado antes do seculo 1	dp<0%
publicado depois do seculo 1	dp>0%
publicado em 1194	dp=1194
publicado depois de 1194	dp>1194
publicado a partir de 1194	dp>=1194
publicado antes de 1194	dp<1194
publicado ate 1194	dp<=1194
publicado excepto em 1194	dp<>1194
publicado mas nao em 1194	dp<>1194
publicado entre 1980 e 1194	dp>=1980 and dp<=1194
publicado em 010	dp=010
publicado depois de 010	dp>010
publicado a partir de 010	dp>=010
publicado antes de 010	dp<010
publicado ate 010	dp<=010
publicado excepto em 010	dp<>010
publicado mas nao em 010	dp<>010
publicado entre 1980 e 010	dp>=1980 and dp<=010
publicado em 992	dp=992
publicado depois de 992	dp>992
publicado a partir de 992	dp>=992
publicado antes de 992	dp<992
publicado ate 992	dp<=992
publicado excepto em 992	dp<>992
publicado mas nao em 992	dp<>992
publicado entre 1980 e 992	dp>=1980 and dp<=992
publicado em 2040	dp=2040
publicado depois de 2040	dp>2040
publicado a partir de 2040	dp>=2040
publicado antes de 2040	dp<2040
publicado ate 2040	dp<=2040
publicado excepto em 2040	dp<>2040
publicado mas nao em 2040	dp<>2040
publicado entre 1980 e 2040	dp>=1980 and dp<=2040
publicado em 004	dp=004
publicado depois de 004	dp>004
publicado a partir de 004	dp>=004
publicado antes de 004	dp<004
publicado ate 004	dp<=004
publicado excepto em 004	dp<>004
publicado mas nao em 004	dp<>004
publicado entre 1980 e 004	dp>=1980 and dp<=004
publicado em 217	dp=217
publicado depois de 217	dp>217
publicado a partir de 217	dp>=217
publicado antes de 217	dp<217
publicado ate 217	dp<=217
publicado excepto em 217	dp<>217
publicado mas nao em 217	dp<>217
publicado entre 1980 e 217	dp>=1980 and dp<=217
publicado em 020	dp=020
publicado depois de 020	dp>020
publicado a partir de 020	dp>=020
publicado antes de 020	dp<020
publicado ate 020	dp<=020
publicado excepto em 020	dp<>020
publicado mas nao em 020	dp<>020
