autor bonnie jeromediemilia,"aut=jeromediemilia, bonnie%"
autor alexander romanovich luria,"aut=luria, alexander romanovich%"
autor maria flor marques simoes,"aut=simoes, maria flor marques%"
autor paul juif,"aut=juif, paul%"
autor fernand dovero,"aut=dovero, fernand%"
autor madalena cunha matos,"aut=matos, madalena cunha%"
autor andre conquet,"aut=conquet, andre%"
autor carolina de oliveira,"aut=oliveira, carolina de%"
autor patrice myrnos,"aut=myrnos, patrice%"
autor jose antonio alcantara,"aut=alcantara, jose antonio%"
autor bertrand cramer,"aut=cramer, bertrand%"
autor bruno biasutti,"aut=biasutti, bruno%"
autor hans g furth,"aut=furth, hans g%"
autor miguel guzman peredo,"aut=guzman peredo, miguel%"
autor mario franco de sousa,"aut=sousa, mario franco de%"
autor iracy sa de souza,"aut=souza, iracy sa de%"
autor cleo de oliveira passos,"aut=passos, cleo de oliveira%"
autor zelia domingues mediano,"aut=mediano, zelia domingues%"
autor nogueira de araujo,"aut=araujo, nogueira de%"
autor jose pedro costa,"aut=costa, jose pedro%"
autor harry wachs,"aut=wachs, harry%"
autor nair lacerda,"aut=lacerda, nair%"
autor rute delgado,"aut=delgado, rute%"
autor l balesse,"aut=balesse, l%"
autor john macbeath,"aut=macbeath, john%"
autor natercio afonso,"aut=afonso, natercio%"
autor leocadia guerreiro,"aut=guerreiro, leocadia%"
autor alfredo melo de carvalho,"aut=carvalho, alfredo melo de%"
autor helene bouvartverdie,"aut=bouvartverdie, helene%"
autor rosalina gomes de almeida,"aut=almeida, rosalina gomes de%"
autor heloisa maria nobrega de mendonca,"aut=mendonca, heloisa maria nobrega de%"
autor homero oliveira,"aut=oliveira, homero%"
autor ivone martins pedro dos santos,"aut=santos, ivone martins pedro dos%"
autor augusto tito de morais,"aut=morais, augusto tito de%"
autor armando lopes,"aut=lopes, armando%"
autor rui parreira,"aut=parreira, rui%"
autor lenice bezerra moura,"aut=moura, lenice bezerra%"
autor wanda rollin pinheiro lopes,"aut=lopes, wanda rollin pinheiro%"
autor helena guimaraes de miranda,"aut=miranda, helena guimaraes de%"
autor  shanti,"aut=shanti%"
autor a albarran,"aut=albarran, a%"
autor a perera,"aut=perera, a%"
autor miguel de cervantes saavedra,"aut=cervantes saavedra, miguel de%"
autor alberto correia,"aut=correia, alberto%"
autor delfim bismarck ferreira,"aut=ferreira, delfim bismarck%"
autor pedro dinis correia,"aut=correia, pedro dinis%"
autor maria irene castro,"aut=castro, maria irene%"
autor joao caldeira romao,"aut=romao, joao caldeira%"
autor paulo madeira rodrigues,"aut=rodrigues, paulo madeira%"
autor don r powell,"aut=powell, don r%"
autor antonio dias lourenco,"aut=lourenco, antonio dias%"
autor georges gusdorf,"aut=gusdorf, georges%"
autor joao benard da costa,"aut=costa, joao benard da%"
autor antonio ramos rosa,"aut=rosa, antonio ramos%"
autor manuel de jesus couraceiro,"aut=couraceiro, manuel de jesus%"
autor bernardino fernando da costa marques,"aut=marques, bernardino fernando da costa%"
autor anthony wilson,"aut=wilson, anthony%"
autor nick dewar,"aut=dewar, nick%"
autor maria de jesus de sousa lima,"aut=lima, maria de jesus de sousa%"
autor stefan haglund,"aut=haglund, stefan%"
autor luisa porto,"aut=porto, luisa%"
autor martins barata,"aut=barata, martins%"
autor fernao mendes pinto,"aut=pinto, fernao mendes%"
autor andy hargreaves,"aut=hargreaves, andy%"
autor lorna m earl,"aut=earl, lorna m%"
autor j. oliver ryan,"aut=ryan, j. oliver%"
autor isabel simoes,"aut=simoes, isabel%"
autor rita pinto leite,"aut=leite, rita pinto%"
autor jose carlos abrantes,"aut=abrantes, jose carlos%"
autor veronica cunha,"aut=cunha, veronica%"
autor eduardo bossa,"aut=bossa, eduardo%"
autor manuela mota,"aut=mota, manuela%"
autor teresa viana,"aut=viana, teresa%"
autor maria luisa sobral mendes,"aut=mendes, maria luisa sobral%"
autor joaquim da silveira botelho,"aut=botelho, joaquim da silveira%"
autor teresa portas,"aut=portas, teresa%"
autor carlos farinha,"aut=farinha, carlos%"
autor paulo ferreira da costa,"aut=costa, paulo ferreira da%"
autor thereza regina de camargo maia,"aut=maia, thereza regina de camargo%"
autor tom maia,"aut=maia, tom%"
autor manuela marques pereira,"aut=pereira, manuela marques%"
autor sergio gorjao,"aut=gorjao, sergio%"
autor luis correia peixoto,"aut=peixoto, luis correia%"
autor j. j dumora,"aut=dumora, j. j%"
autor aura ramalho,"aut=ramalho, aura%"
autor robert gloton,"aut=gloton, robert%"
autor claude clero,"aut=clero, claude%"
autor joao esteves da silva,"aut=silva, joao esteves da%"
autor h. silva letra,"aut=letra, h. silva%"
autor filomena quadros branco,"aut=branco, filomena quadros%"
autor bruno ciari,"aut=ciari, bruno%"
autor a. de pais salvacao,"aut=salvacao, a. de pais%"
autor georges belbenoit,"aut=belbenoit, georges%"
autor gerard faure,"aut=faure, gerard%"
autor serge lascar,"aut=lascar, serge%"
autor jose saramago,"aut=saramago, jose%"
autor georges lagrange,"aut=lagrange, georges%"
autor jose valentim lemos,"aut=lemos, jose valentim%"
autor georges lerbet,"aut=lerbet, georges%"
autor zozimo castro rego,"aut=rego, zozimo castro%"
autor jose pinto peixoto,"aut=peixoto, jose pinto%"
autor cristina girao vieira,"aut=vieira, cristina girao%"
autor nuno silva miguel,"aut=miguel, nuno silva%"
autor john l hayman,"aut=hayman, john l%"
autor rodney n napier,"aut=napier, rodney n%"
autor gilbert de landsheere,"aut=de landsheere, gilbert%"
autor simone fontanelbrassart,"aut=fontanelbrassart, simone%"
autor andre rouquet,"aut=rouquet, andre%"
autor maria leonor fernandes antunes,"aut=antunes, maria leonor fernandes%"
autor brian sibley,"aut=sibley, brian%"
autor lucinda maria dos santos silva,"aut=silva, lucinda maria dos santos%"
autor antonio manuel marques,"aut=marques, antonio manuel%"
autor peggy vance,"aut=vance, peggy%"
autor manuel vilas boas,"aut=vilas boas, manuel%"
autor francisco de oliveira,"aut=oliveira, francisco de%"
autor vitor frazao,"aut=frazao, vitor%"
autor manuel luis violante batoreo,"aut=batoreo, manuel luis violante%"
autor stephen butler,"aut=butler, stephen%"
autor rosa antunes,"aut=antunes, rosa%"
autor miguel monteiro,"aut=monteiro, miguel%"
autor beatrice dupont,"aut=dupont, beatrice%"
autor maria elvira cortesao abreu,"aut=abreu, maria elvira cortesao%"
autor luis pinheiro de almeida,"aut=almeida, luis pinheiro de%"
autor joao pinheiro de almeida,"aut=almeida, joao pinheiro de%"
autor wendy baker,"aut=baker, wendy%"
autor andrew haslam,"aut=haslam, andrew%"
autor ana roque silva,"aut=silva, ana roque%"
autor maria margarida nunes gaspar de matos,"aut=matos, maria margarida nunes gaspar de%"
autor julio rocha e sousa,"aut=sousa, julio rocha e%"
autor armando de lucena,"aut=lucena, armando de%"
autor antonio de oliveira melo,"aut=melo, antonio de oliveira%"
autor antonio rodrigues guapo,"aut=guapo, antonio rodrigues%"
autor jose eduardo martins,"aut=martins, jose eduardo%"
autor jose das neves gomes eliseu,"aut=eliseu, jose das neves gomes%"
autor joaquim flores,"aut=flores, joaquim%"
autor jose flores,"aut=flores, jose%"
autor joao jose miguel ferreira da silva amaral,"aut=amaral, joao jose miguel ferreira da silva%"
autor maria cristina marques,"aut=marques, maria cristina%"
autor vitorino vieira dias,"aut=dias, vitorino vieira%"
autor manuel l agostinho,"aut=agostinho, manuel l%"
autor herb snitzer,"aut=snitzer, herb%"
autor luis ricardo barata amancio,"aut=amancio, luis ricardo barata%"
autor david mourao ferreira,"aut=ferreira, david mourao%"
autor jose hermano saraiva,"aut=saraiva, jose hermano%"
autor maria luisa guerra,"aut=guerra, maria luisa%"
autor eduardo jorge miranda frutuoso,"aut=frutuoso, eduardo jorge miranda%"
autor paulo jorge alves guinote,"aut=guinote, paulo jorge alves%"
autor antonio lopes,"aut=lopes, antonio%"
autor andre corvisier,"aut=corvisier, andre%"
autor rolando roque da silva,"aut=silva, rolando roque da%"
autor carmen olivia de castro amaral,"aut=amaral, carmen olivia de castro%"
autor paul petit,"aut=petit, paul%"
autor pedro moacyr de campos,"aut=campos, pedro moacyr de%"
autor jacques heers,"aut=heers, jacques%"
autor teresa aline pereira de queiros,"aut=queiros, teresa aline pereira de%"
autor jacques nere,"aut=nere, jacques%"
autor octavio mendes cajado,"aut=cajado, octavio mendes%"
autor donald c johanson,"aut=johanson, donald c%"
autor afonso carmona teixeira,"aut=teixeira, afonso carmona%"
autor sheena coupe,"aut=coupe, sheena%"
autor alvaro fernandes,"aut=fernandes, alvaro%"
autor ana teresa santos,"aut=santos, ana teresa%"
autor sandra pedro,"aut=pedro, sandra%"
autor miguel telles antunes,"aut=antunes, miguel telles%"
autor celia cristina marques augusto,"aut=augusto, celia cristina marques%"
autor gloria ramalho,"aut=ramalho, gloria%"
autor peter jones,"aut=jones, peter%"
autor maria helena araujo,"aut=araujo, maria helena%"
autor maria da conceicao oliveira,"aut=oliveira, maria da conceicao%"
autor manuela leitao,"aut=leitao, manuela%"
autor cristina baptista,"aut=baptista, cristina%"
autor fernand nathan,"aut=nathan, fernand%"
autor giuseppe ferrario,"aut=ferrario, giuseppe%"
autor larry keys,"aut=keys, larry%"
autor lorenzo chiavini,"aut=chiavini, lorenzo%"
autor sara copercini,"aut=copercini, sara%"
autor ricardo sisti,"aut=sisti, ricardo%"
autor christian aliprandi,"aut=aliprandi, christian%"
autor barbara soares,"aut=soares, barbara%"
autor patricia furtado,"aut=furtado, patricia%"
autor davide turotti,"aut=turotti, davide%"
autor danilo loizedda,"aut=loizedda, danilo%"
autor carlos j. campos,"aut=campos, carlos j.%"
autor pedro potier,"aut=potier, pedro%"
autor maria do rosario pedreira,"aut=pedreira, maria do rosario%"
autor luis anglin,"aut=anglin, luis%"
autor ulysses moore,"aut=moore, ulysses%"
autor iacopo bruno,"aut=bruno, iacopo%"
autor filipe guerra,"aut=guerra, filipe%"
autor jeff kinney,"aut=kinney, jeff%"
autor rita figueiredo,"aut=figueiredo, rita%"
autor renato carreira,"aut=carreira, renato%"
autor eduardo cintra torres,"aut=torres, eduardo cintra%"
autor elisa marques,"aut=marques, elisa%"
autor jose filipe goncalves oliveira,"aut=oliveira, jose filipe goncalves%"
autor andre cruz,"aut=cruz, andre%"
autor alina vilalva,"aut=vilalva, alina%"
autor cecilia galvao,"aut=galvao, cecilia%"
autor gloria fischer,"aut=fischer, gloria%"
autor isabel hub de faria,"aut=faria, isabel hub de%"
autor helena ferraz,"aut=ferraz, helena%"
autor julio marinho,"aut=marinho, julio%"
autor leonor barroso,"aut=barroso, leonor%"
autor isabel campelo,"aut=campelo, isabel%"
autor johnn strauss,"aut=strauss, johnn%"
autor joaquim azevedo,"aut=azevedo, joaquim%"
autor teresa pires,"aut=pires, teresa%"
autor odete bernardino,"aut=bernardino, odete%"
autor manuela almeida,"aut=almeida, manuela%"
autor julia fonseca,"aut=fonseca, julia%"
autor joao monteiro,"aut=monteiro, joao%"
autor miguel paiva,"aut=paiva, miguel%"
autor joao mota oliveira,"aut=oliveira, joao mota%"
autor connie fischer,"aut=fischer, connie%"
autor antonio jose mourao,"aut=mourao, antonio jose%"
autor luis cipriano,"aut=cipriano, luis%"
autor carlos alberto moniz,"aut=moniz, carlos alberto%"
autor jose cid,"aut=cid, jose%"
autor toze brito,"aut=brito, toze%"
autor cristina aguas,"aut=aguas, cristina%"
autor nieves alvarez martin,"aut=alvarez martin, nieves%"
autor jose maria iglesias martinez,"aut=iglesias martinez, jose maria%"
autor angel herrera varon,"aut=herrera varon, angel%"
autor manuela ramos,"aut=ramos, manuela%"
autor ana maria meireles,"aut=meireles, ana maria%"
autor marta pereira,"aut=pereira, marta%"
autor luisa aguiar,"aut=aguiar, luisa%"
autor andre neves,"aut=neves, andre%"
autor marta azcona,"aut=azcona, marta%"
autor rosa osuma,"aut=osuma, rosa%"
autor isabelle buratti,"aut=buratti, isabelle%"
autor catarina sobreiro,"aut=sobreiro, catarina%"
autor andrew cope,"aut=cope, andrew%"
autor chris mould,"aut=mould, chris%"
autor cristina queiros,"aut=queiros, cristina%"
autor chris ellis,"aut=ellis, chris%"
autor filipa parreira,"aut=parreira, filipa%"
autor monteiro lobato,"aut=lobato, monteiro%"
autor elsa rocha,"aut=rocha, elsa%"
autor linda hayward,"aut=hayward, linda%"
autor daniel joris,"aut=joris, daniel%"
autor frederic tessier,"aut=tessier, frederic%"
autor pedro baptista,"aut=baptista, pedro%"
autor barrie watts,"aut=watts, barrie%"
autor barnie watts,"aut=watts, barnie%"
autor gordon clayton,"aut=clayton, gordon%"
autor jane cradockwatson,"aut=cradockwatson, jane%"
autor dave hopkins,"aut=hopkins, dave%"
autor stella love,"aut=love, stella%"
autor susana paulino,"aut=paulino, susana%"
autor gill pittar,"aut=pittar, gill%"
autor cris morrell,"aut=morrell, cris%"
autor teresa augusto,"aut=augusto, teresa%"
autor celeste maia,"aut=maia, celeste%"
autor yves beaujard,"aut=beaujard, yves%"
autor madeleine brunelet,"aut=brunelet, madeleine%"
autor lynn hugginscooper,"aut=hugginscooper, lynn%"
autor shelagh mcnicholas,"aut=mcnicholas, shelagh%"
autor david burroughs,"aut=burroughs, david%"
autor ann braybrooks,"aut=braybrooks, ann%"
autor vickey bolling,"aut=bolling, vickey%"
autor paulo emilio pires,"aut=pires, paulo emilio%"
autor maria manuel pedrosa,"aut=pedrosa, maria manuel%"
autor noelia patricio,"aut=patricio, noelia%"
autor  mig.,"aut=mig.%"
autor luis duran,"aut=duran, luis%"
autor rien broere,"aut=broere, rien%"
autor ann de bode,"aut=de bode, ann%"
autor jorge barbosa,"aut=barbosa, jorge%"
autor alvaro manuel machado,"aut=machado, alvaro manuel%"
autor ophelie texier,"aut=texier, ophelie%"
autor margarida pereira muller,"aut=muller, margarida pereira%"
autor michael fiodorov,"aut=fiodorov, michael%"
autor constanza droop,"aut=droop, constanza%"
autor isabel ribeiro,"aut=ribeiro, isabel%"
autor carla rondao,"aut=rondao, carla%"
autor m rainaud,"aut=rainaud, m%"
autor crisostomo alberto,"aut=alberto, crisostomo%"
autor elve fortis de hieronymis,"aut=hieronymis, elve fortis de%"
autor gina bencraft,"aut=bencraft, gina%"
autor ray mutimer,"aut=mutimer, ray%"
autor todd parr,"aut=parr, todd%"
autor maria ribeiro,"aut=ribeiro, maria%"
autor cressida cowell,"aut=cowell, cressida%"
autor jose antonio lopez parreno,"aut=lopez parreno, jose antonio%"
autor pablo mestre,"aut=mestre, pablo%"
autor shel silverstein,"aut=silverstein, shel%"
autor carlos de oliveira,"aut=oliveira, carlos de%"
autor anabela batista,"aut=batista, anabela%"
autor marisa pott,"aut=pott, marisa%"
autor carla pott,"aut=pott, carla%"
autor  zacarias,"aut=zacarias%"
autor miguel corte real,"aut=corte real, miguel%"
autor miguel cabral,"aut=cabral, miguel%"
autor ana maria machado,"aut=machado, ana maria%"
autor diana dias,"aut=dias, diana%"
autor carla vermelho de sousa,"aut=sousa, carla vermelho de%"
autor tono nunez,"aut=nunez, tono%"
autor suso cubeiro,"aut=cubeiro, suso%"
autor heather amery,"aut=amery, heather%"
autor peter wingham,"aut=wingham, peter%"
autor roberto innocenti,"aut=innocenti, roberto%"
autor j. patrick lewis,"aut=lewis, j. patrick%"
autor gabriela rocha alves,"aut=alves, gabriela rocha%"
autor brigitte blochtabet,"aut=blochtabet, brigitte%"
autor pat tornborg,"aut=tornborg, pat%"
autor alan gelman,"aut=gelman, alan%"
autor judy freudberg,"aut=freudberg, judy%"
autor carol nicklaus,"aut=nicklaus, carol%"
autor madeline sunshine,"aut=sunshine, madeline%"
autor j thomasbilstein,"aut=thomasbilstein, j%"
autor m. a batlle,"aut=batlle, m. a%"
autor colette husdavid,"aut=husdavid, colette%"
autor maria do rosario paiva boleo,"aut=boleo, maria do rosario paiva%"
autor daniele ballsimon,"aut=ballsimon, daniele%"
autor m.r pimont,"aut=pimont, m.r%"
autor maria do rosario paiva guiraud f,"aut=guiraud, f, maria do rosario paiva%"
autor f ruyer,"aut=ruyer, f%"
autor yves lequesne,"aut=lequesne, yves%"
autor emmanuelle paroissien,"aut=paroissien, emmanuelle%"
autor sandrine lefebvre,"aut=lefebvre, sandrine%"
autor etienne butterlin,"aut=butterlin, etienne%"
autor isabelle rognoni,"aut=rognoni, isabelle%"
autor andreas wilhelm,"aut=wilhelm, andreas%"
autor wolfgang metzger,"aut=metzger, wolfgang%"
autor mercedes silveira,"aut=silveira, mercedes%"
autor carlos vidal,"aut=vidal, carlos%"
autor manuela encarnacao,"aut=encarnacao, manuela%"
autor gil matias,"aut=matias, gil%"
autor rogerio taveira,"aut=taveira, rogerio%"
autor vitor costa,"aut=costa, vitor%"
autor annemarie dalmais,"aut=dalmais, annemarie%"
autor  benvenuti,"aut=benvenuti%"
autor francois gilson,"aut=gilson, francois%"
autor  peral,"aut=peral%"
autor hiawyn oram,"aut=oram, hiawyn%"
autor frederic joos,"aut=joos, frederic%"
autor pierre coran,"aut=coran, pierre%"
autor  merel,"aut=merel%"
autor vanda faria dos santos,"aut=santos, vanda faria dos%"
autor carlos marques da silva,"aut=silva, carlos marques da%"
autor a. m. galopim de carvalho,"aut=carvalho, a. m. galopim de%"
autor marion johnson,"aut=johnson, marion%"
autor saul berkowitz,"aut=berkowitz, saul%"
autor antonio salvador,"aut=salvador, antonio%"
autor teresa ferreira da silva,"aut=silva, teresa ferreira da%"
autor mary atkinson,"aut=atkinson, mary%"
autor nick ward,"aut=ward, nick%"
autor merce escardo i bas,"aut=escardo i bas, merce%"
autor pere joan,"aut=joan, pere%"
autor dugald steer,"aut=steer, dugald%"
autor caroline anstey,"aut=anstey, caroline%"
autor andre boaventura,"aut=boaventura, andre%"
autor a. m lefevre,"aut=lefevre, a. m%"
autor m. nathandeiller,"aut=nathandeiller, m.%"
autor  van gool,"aut=van gool%"
autor ana cristina inacio,"aut=inacio, ana cristina%"
autor mariefrance floury,"aut=floury, mariefrance%"
autor charlotte roederer,"aut=roederer, charlotte%"
autor jean de la fontaine,"aut=la fontaine, jean de%"
autor edith baudrand,"aut=baudrand, edith%"
autor mariejose maury,"aut=maury, mariejose%"
autor madalena lima,"aut=lima, madalena%"
autor myriam deru,"aut=deru, myriam%"
autor eric hill,"aut=hill, eric%"
autor alexandre rebelo,"aut=rebelo, alexandre%"
autor jaume cela,"aut=cela, jaume%"
autor cristina losantos,"aut=losantos, cristina%"
autor monica faria de carvalho,"aut=carvalho, monica faria de%"
autor max velthuijs,"aut=velthuijs, max%"
autor mymi doinet,"aut=doinet, mymi%"
autor valerie stetten,"aut=stetten, valerie%"
autor christophe merlin,"aut=merlin, christophe%"
autor jorge fallorca,"aut=fallorca, jorge%"
autor mary ling,"aut=ling, mary%"
autor paul stewart,"aut=stewart, paul%"
autor chris riddell,"aut=riddell, chris%"
autor ian beck,"aut=beck, ian%"
autor nikolai nossov,"aut=nossov, nikolai%"
autor boris kalauchine,"aut=kalauchine, boris%"
autor jose augusto,"aut=augusto, jose%"
autor tatiana groian,"aut=groian, tatiana%"
autor ricardo neto,"aut=neto, ricardo%"
autor franz weyergans,"aut=weyergans, franz%"
autor simone baudoin,"aut=baudoin, simone%"
autor yasmine haddad,"aut=haddad, yasmine%"
autor carla cortesi,"aut=cortesi, carla%"
autor manuela pereira,"aut=pereira, manuela%"
autor nuno feijao,"aut=feijao, nuno%"
autor gisela moniz,"aut=moniz, gisela%"
autor merce aranega,"aut=aranega, merce%"
autor joana quental,"aut=quental, joana%"
autor josephine poole,"aut=poole, josephine%"
autor paul hess,"aut=hess, paul%"
autor miguel gomes,"aut=gomes, miguel%"
autor sabine wiemers,"aut=wiemers, sabine%"
autor ingrid huber,"aut=huber, ingrid%"
autor maria aparecida baptista,"aut=baptista, maria aparecida%"
autor hans de beer,"aut=beer, hans de%"
autor clara boleo,"aut=boleo, clara%"
autor isabel de paiva boleo,"aut=boleo, isabel de paiva%"
autor beatrice masini,"aut=masini, beatrice%"
autor zulmira oliva,"aut=oliva, zulmira%"
autor f melro,"aut=melro, f%"
autor erico verissimo,"aut=verissimo, erico%"
autor maria isabel guedes loureiro,"aut=loureiro, maria isabel guedes%"
autor neil fletcher,"aut=fletcher, neil%"
autor michel piquemal,"aut=piquemal, michel%"
autor clara nomdedeu,"aut=nomdedeu, clara%"
autor teresa marinho marques,"aut=marques, teresa marinho%"
autor maria prates,"aut=prates, maria%"
autor quim ferreira,"aut=ferreira, quim%"
autor fernando garcia lahieguera,"aut=garcia lahieguera, fernando%"
autor consuelo lopez nomdedeu,"aut=lopez nomdedeu, consuelo%"
autor francisco martinez chavez,"aut=martinez chavez, francisco%"
autor paulette bourgeois,"aut=bourgeois, paulette%"
autor brenda clark,"aut=clark, brenda%"
autor loic jouannigot,"aut=jouannigot, loic%"
autor carme sole vendrell,"aut=sole vendrell, carme%"
autor anne civardi,"aut=civardi, anne%"
autor stephen cartwright,"aut=cartwright, stephen%"
autor c. godinho,"aut=godinho, c.%"
autor betty root,"aut=root, betty%"
autor victor civita,"aut=civita, victor%"
autor nadine piette,"aut=piette, nadine%"
autor donata montanari,"aut=montanari, donata%"
autor harry alexander,"aut=alexander, harry%"
autor sally chambers,"aut=chambers, sally%"
autor maureen roffey,"aut=roffey, maureen%"
autor adelaide cervaens rodrigues,"aut=rodrigues, adelaide cervaens%"
autor margarida botelho,"aut=botelho, margarida%"
autor manuel barco,"aut=barco, manuel%"
autor maria odete manso pinheiro,"aut=pinheiro, maria odete manso%"
autor gianni rodari,"aut=rodari, gianni%"
autor alessandro sanna,"aut=sanna, alessandro%"
autor isabel buratti,"aut=buratti, isabel%"
autor dieter busch,"aut=busch, dieter%"
autor imelda subtil,"aut=subtil, imelda%"
autor claudio figueira,"aut=figueira, claudio%"
autor sofia dias,"aut=dias, sofia%"
autor ana maria rangel,"aut=rangel, ana maria%"
autor joao ascenso,"aut=ascenso, joao%"
autor dorothy einon,"aut=einon, dorothy%"
autor nila aye,"aut=aye, nila%"
autor 3za eme,"aut=eme, 3za%"
autor emilio remelhe,"aut=remelhe, emilio%"
autor  ziraldo,"aut=ziraldo%"
autor bruno santos,"aut=santos, bruno%"
autor yvon le gall,"aut=le gall, yvon%"
autor scarlett ohara,"aut=ohara, scarlett%"
autor diogo serra lopes,"aut=lopes, diogo serra%"
autor ian whybrow,"aut=whybrow, ian%"
autor topika topraska,"aut=topraska, topika%"
autor danilo barozzi,"aut=barozzi, danilo%"
autor francesco castelli,"aut=castelli, francesco%"
autor valentina grassini,"aut=grassini, valentina%"
autor jayne wood,"aut=wood, jayne%"
autor blasco tabasco,"aut=tabasco, blasco%"
autor guy codana,"aut=codana, guy%"
autor federatto brusco,"aut=brusco, federatto%"
autor matt wolf,"aut=wolf, matt%"
autor white m ouse,"aut=ouse, white m%"
autor maria cernuschi,"aut=cernuschi, maria%"
autor valeria turati,"aut=turati, valeria%"
autor ratterto rattonchi,"aut=rattonchi, ratterto%"
autor blasco pisapia,"aut=pisapia, blasco%"
autor guido cesana,"aut=cesana, guido%"
autor federico brusco,"aut=brusco, federico%"
autor bernand alunni,"aut=alunni, bernand%"
autor mariechristine lemayeur,"aut=lemayeur, mariechristine%"
autor nicole nadeau,"aut=nadeau, nicole%"
autor doris rubel,"aut=rubel, doris%"
autor ann de bode,"aut=bode, ann de%"
autor arnica esterl,"aut=esterl, arnica%"
autor anastassija archipowa,"aut=archipowa, anastassija%"
autor paula de carvalho,"aut=carvalho, paula de%"
autor jose saraiva,"aut=saraiva, jose%"
autor steve smallman,"aut=smallman, steve%"
autor rebecca archer,"aut=archer, rebecca%"
autor jane york,"aut=york, jane%"
autor margarida machado,"aut=machado, margarida%"
autor claire freedman,"aut=freedman, claire%"
autor jane massey,"aut=massey, jane%"
autor beatriz azevedo,"aut=azevedo, beatriz%"
autor stephanie blanchart,"aut=blanchart, stephanie%"
autor sam lloyd,"aut=lloyd, sam%"
autor jack tickle,"aut=tickle, jack%"
autor anna llimos plomer,"aut=llimos plomer, anna%"
autor jesus araujo,"aut=araujo, jesus%"
autor antonio quintela,"aut=quintela, antonio%"
autor miguel azevedo coutinho,"aut=coutinho, miguel azevedo%"
autor monique felix,"aut=felix, monique%"
autor christine sagnier,"aut=sagnier, christine%"
autor pierre bon,"aut=bon, pierre%"
autor cathy franco,"aut=franco, cathy%"
autor g. costa,"aut=costa, g.%"
autor maria do carmo abreu,"aut=abreu, maria do carmo%"
autor marierenee pimont,"aut=pimont, marierenee%"
autor vivienne bray,"aut=bray, vivienne%"
autor noelle le guillouzic,"aut=le guillouzic, noelle%"
autor florence guiraud,"aut=guiraud, florence%"
autor alexandre correia,"aut=correia, alexandre%"
autor s. alloy,"aut=alloy, s.%"
autor b alunni,"aut=alunni, b%"
autor c david,"aut=david, c%"
autor f guiraud,"aut=guiraud, f%"
autor f bon,"aut=bon, f%"
autor patricia palroz,"aut=palroz, patricia%"
autor jonathan swift,"aut=swift, jonathan%"
autor alcinda marinho,"aut=marinho, alcinda%"
autor martin hargreaves,"aut=hargreaves, martin%"
autor james dunbar,"aut=dunbar, james%"
autor elisa bernardo,"aut=bernardo, elisa%"
autor louisa may alcott,"aut=alcott, louisa may%"
autor chris molan,"aut=molan, chris%"
autor jane e gerver,"aut=gerver, jane e%"
autor luis f. mendes,"aut=mendes, luis f.%"
autor john woodcock,"aut=woodcock, john%"
autor simone end,"aut=end, simone%"
autor victor ambrus,"aut=ambrus, victor%"
autor michael leitch,"aut=leitch, michael%"
autor kenneth lilly,"aut=lilly, kenneth%"
autor carlos artur thire,"aut=thire, carlos artur%"
autor paula marques,"aut=marques, paula%"
autor luis almeida martins,"aut=martins, luis almeida%"
autor artur franco henriques,"aut=henriques, artur franco%"
autor fernando jorge,"aut=jorge, fernando%"
autor angela nanneti casari,"aut=casari, angela nanneti%"
autor federico maggioni,"aut=maggioni, federico%"
autor sylvaine perols,"aut=perols, sylvaine%"
autor gallimard jeunesse,"aut=jeunesse, gallimard%"
autor pascale de bourgoing,"aut=bourgoing, pascale de%"
autor rene mettler,"aut=mettler, rene%"
autor claude delafosse,"aut=delafosse, claude%"
autor natacha ribeiro,"aut=ribeiro, natacha%"
autor m. loiseaux,"aut=loiseaux, m.%"
autor miss hoops,"aut=hoops, miss%"
autor biagio arixi,"aut=arixi, biagio%"
autor fabio uisintin,"aut=uisintin, fabio%"
autor rita bruno,"aut=bruno, rita%"
autor joao piroto,"aut=piroto, joao%"
autor sandra cruz,"aut=cruz, sandra%"
autor francisco petrucci fonseca,"aut=fonseca, francisco petrucci%"
autor robert lyle,"aut=lyle, robert%"
autor alexandre marques pereira,"aut=pereira, alexandre marques%"
autor luis carlos patraquim,"aut=patraquim, luis carlos%"
autor jorge couto,"aut=couto, jorge%"
autor serafim borges,"aut=borges, serafim%"
autor paulo goulao,"aut=goulao, paulo%"
autor manuel ramalho,"aut=ramalho, manuel%"
autor eugenio de andrade,"aut=andrade, eugenio de%"
autor monica marti,"aut=marti, monica%"
autor isabel sanz,"aut=sanz, isabel%"
autor mnica marty,"aut=marty, mnica%"
autor linda birkinshaw,"aut=birkinshaw, linda%"
autor sheila mortimer,"aut=mortimer, sheila%"
autor freitas e silva,"aut=silva, freitas e%"
autor leonardo binato,"aut=binato, leonardo%"
autor christl vogl,"aut=vogl, christl%"
autor rob van het hof,"aut=hof, rob van het%"
autor vasco sousa mesquita,"aut=mesquita, vasco sousa%"
autor j. almeida costa,"aut=costa, j. almeida%"
autor a. sampaio e melo,"aut=melo, a. sampaio e%"
autor janusz obtucki,"aut=obtucki, janusz%"
autor isabel abreu,"aut=abreu, isabel%"
autor cecilia johansson,"aut=johansson, cecilia%"
autor luisa albuquerque,"aut=albuquerque, luisa%"
autor mariejose sacre,"aut=sacre, mariejose%"
autor anthero monteiro,"aut=monteiro, anthero%"
autor teresa guedes,"aut=guedes, teresa%"
